#,id,student_id,name,age,gender,is_smoker,weekday_sleep_time,weekday_wake_time,weekend_sleep_time,weekend_wake_time,goes_home_on_weekend,late_night_return_frequency,drinking_frequency,noise_sensitivity,call_frequency,snores,prefers_same_major,major_name,cleaning_frequency,personality_extroversion,weight_lifestyle_rhythm,weight_noise,weight_major,weight_cleaning,weight_age,weight_personality,is_matched,matched_room_id,created_at,updated_at
1,,,박현우,26,남,False,00,11,,,True,3,1,5,2,1,True,정보보호학과,7,1,21,54,26,79,44,73,,,,
2,,,강현우,25,남,True,23,11,02,07,False,3,7,5,1,1,False,컴퓨터공학과,6,0,31,78,56,25,32,88,,,,
3,,,남채원,20,여,False,23,09,00,09,False,0,5,5,7,1,True,AI융합전자공학과,5,0,14,39,98,80,27,98,,,,
4,,,김나연,25,여,False,22,07,03,11,False,6,3,3,3,0,True,교육학과,7,0,34,90,3,30,59,37,,,,
5,,,안유나,23,여,False,23,06,02,08,False,5,7,1,6,1,True,생명시스템학부 바이오융합공학전공,1,1,53,21,20,75,98,93,,,,
6,,,김도윤,25,남,False,22,08,23,09,False,5,2,5,7,0,True,국제학부 일어일문학전공,4,0,74,85,59,87,24,85,,,,
7,,,심서준,27,남,False,01,09,03,07,False,5,1,1,5,0,True,생명시스템학부 바이오산업자원공학전공,7,1,27,92,39,42,43,60,,,,
8,,,홍시우,28,남,False,03,06,23,08,False,4,2,1,2,1,True,호텔외식관광프랜차이즈경영학과,6,1,49,81,63,94,66,57,,,,
9,,,오하준,20,남,False,03,10,,,True,3,1,5,7,1,True,호텔관광외식경영학부 외식경영학전공,2,1,41,40,18,38,72,75,,,,
10,,,윤재윤,21,남,False,23,06,02,11,False,5,3,1,2,1,True,패션디자인학과,5,0,25,88,84,96,7,66,,,,
11,,,이도윤,21,남,True,23,10,23,08,False,7,0,1,1,0,False,컴퓨터공학과,6,0,73,77,49,100,40,26,,,,
12,,,김채원,20,여,False,01,10,23,10,False,1,7,4,1,0,False,국제학부 영어데이터융합전공,6,0,70,94,69,82,100,59,,,,
13,,,강나연,25,여,False,22,09,,,True,5,3,2,4,1,False,국제학부 일어일문학전공,3,0,26,57,35,58,70,35,,,,
14,,,이시윤,28,남,True,00,06,,,True,3,5,2,6,1,False,회화과,5,0,9,59,29,18,11,7,,,,
15,,,차대현,28,남,False,02,07,23,09,False,1,2,3,5,1,False,생명시스템학부 바이오산업자원공학전공,3,1,85,16,27,33,57,85,,,,
16,,,김유나,25,여,True,00,11,23,06,False,3,4,1,1,0,True,건축공학과,4,0,57,86,53,50,87,70,,,,
17,,,이수아,24,여,True,01,08,00,06,False,5,3,5,6,1,True,글로벌인재학부 국제협력전공,7,1,94,88,98,58,4,48,,,,
18,,,이수아,26,여,True,23,08,00,07,False,6,5,3,1,0,True,국제학부 중국통상학전공,1,0,54,60,42,21,69,70,,,,
19,,,김건우,22,남,False,03,08,23,10,False,7,7,2,7,0,False,창의소프트학부 만화애니메이션텍전공,1,0,93,56,61,33,0,80,,,,
20,,,우재윤,21,남,False,00,11,03,08,False,1,7,3,2,0,True,인공지능데이터사이언스학과,5,0,15,69,91,36,11,11,,,,
21,,,이시우,26,남,True,03,07,,,True,5,0,1,2,1,True,호텔관광외식경영학부 외식경영학전공,1,0,38,51,37,56,38,28,,,,
22,,,김수아,23,여,False,03,11,01,11,False,3,6,1,7,1,False,수학통계학과,7,0,79,82,30,59,78,6,,,,
23,,,홍채원,20,여,True,00,06,22,07,False,3,3,5,1,1,False,국제학부 중국통상학전공,3,0,88,47,66,50,32,67,,,,
24,,,오지민,23,여,True,23,06,,,True,4,4,1,4,0,False,법학과,7,1,9,100,83,89,6,53,,,,
25,,,김준우,23,남,False,03,07,03,11,False,5,5,5,5,1,True,무용과,4,0,44,87,59,91,42,51,,,,
26,,,박건우,24,남,False,03,09,,,True,2,5,3,4,0,False,환경융합공학과,4,0,58,7,92,58,5,55,,,,
27,,,정민서,21,여,True,01,11,,,True,5,5,1,2,1,True,회화과,6,1,96,99,18,58,52,19,,,,
28,,,유시윤,24,남,True,01,10,,,True,2,5,5,5,0,True,스마트생명산업융합학과,7,1,39,31,21,0,43,44,,,,
29,,,장지안,23,여,True,02,07,,,True,2,1,5,1,1,True,호텔외식관광프랜차이즈경영학과,4,0,7,79,2,51,71,41,,,,
30,,,김시윤,21,남,False,01,06,03,08,False,2,6,4,4,0,True,콘텐츠소프트웨어학과,6,0,21,86,0,14,31,55,,,,
31,,,조하윤,25,여,False,01,06,01,11,False,7,4,5,2,0,True,우주항공시스템학부 우주항공공학전공,5,1,23,27,63,100,41,30,,,,
32,,,장시우,23,남,False,02,09,01,09,False,5,6,3,3,1,True,기계공학과,3,1,41,67,76,31,33,7,,,,
33,,,박민서,21,여,True,00,06,02,06,False,0,3,2,5,1,True,양자원자력공학과,5,0,73,27,25,97,57,38,,,,
34,,,이민서,23,여,True,02,07,,,True,4,3,5,5,0,True,스마트생명산업융합학과,5,1,58,4,77,21,85,21,,,,
35,,,김은우,26,남,False,00,09,,,True,2,5,2,7,1,False,국어국문학과,1,0,97,53,78,71,21,21,,,,
36,,,이서준,23,남,True,01,09,02,11,False,4,1,1,7,1,False,국제학부 영어데이터융합전공,1,1,44,30,19,55,76,30,,,,
37,,,김하준,20,남,False,03,07,22,09,False,4,1,5,7,0,False,무용과,6,0,75,42,12,54,86,100,,,,
38,,,강시윤,28,남,False,00,07,,,True,2,2,3,6,0,False,물리천문학과,5,0,86,73,43,66,29,14,,,,
39,,,류도윤,26,남,False,23,08,02,10,False,5,5,1,2,1,False,나노신소재공학과,1,0,99,56,84,70,58,6,,,,
40,,,황예린,27,여,False,23,06,,,True,4,1,4,3,0,True,생명시스템학부 식품생명공학전공,4,0,81,13,29,39,89,30,,,,
41,,,백유나,20,여,True,22,10,22,11,False,2,3,4,2,1,True,스마트생명산업융합학과,2,1,94,56,26,87,72,56,,,,
42,,,김민서,22,여,True,22,10,02,09,False,4,1,3,5,0,True,교육학과,3,1,8,68,6,82,61,46,,,,
43,,,최도윤,24,남,True,02,10,23,11,False,3,0,4,5,1,False,건축공학과,3,0,39,46,35,80,53,55,,,,
44,,,문시우,27,남,True,00,09,02,06,False,3,0,3,3,1,True,스마트생명산업융합학과,4,0,27,16,9,22,92,6,,,,
45,,,김은서,27,여,True,22,07,03,06,False,5,6,4,3,1,False,컴퓨터공학과,6,1,55,75,96,65,29,47,,,,
46,,,김서연,26,여,False,02,10,00,10,False,0,2,5,6,1,False,호텔관광외식경영학부 외식경영학전공,3,1,18,55,1,53,76,61,,,,
47,,,오지민,23,여,False,01,10,03,08,False,1,2,5,7,1,True,스마트생명산업융합학과,5,0,25,22,25,17,90,21,,,,
48,,,장하윤,20,여,False,23,09,02,07,False,0,2,3,5,1,True,미디어커뮤니케이션학과,5,1,75,13,13,75,29,92,,,,
49,,,황채원,22,여,False,03,06,23,10,False,6,1,2,4,1,True,컴퓨터공학과,2,0,46,66,87,52,91,52,,,,
50,,,조서윤,23,여,False,02,11,,,True,4,3,1,6,0,False,생명시스템학부 식품생명공학전공,1,1,5,97,35,81,97,82,,,,
51,,,이시우,24,남,True,01,06,00,09,False,2,7,1,7,0,False,국어국문학과,5,0,42,68,58,89,75,66,,,,
52,,,박민수,23,남,True,01,07,00,06,False,0,2,5,5,1,False,지능정보융합학과,3,0,17,2,18,93,61,77,,,,
53,,,김재윤,21,남,False,03,11,01,07,False,5,4,1,2,0,True,생명시스템학부 바이오산업자원공학전공,1,1,16,33,74,42,28,91,,,,
54,,,이은우,28,남,True,00,10,,,True,3,3,4,1,0,True,AI로봇학과,5,1,76,51,60,35,43,27,,,,
55,,,김나연,26,여,False,22,09,02,07,False,0,4,1,1,0,True,생명시스템학부 바이오융합공학전공,6,1,46,67,61,34,18,87,,,,
56,,,이서연,25,여,True,23,07,22,10,False,7,3,4,6,0,True,교육학과,5,1,86,5,98,13,64,88,,,,
57,,,송시우,22,남,False,23,08,01,09,False,5,7,5,2,0,True,미디어커뮤니케이션학과,5,1,81,6,48,22,68,90,,,,
58,,,고유나,20,여,False,02,10,,,True,4,0,3,6,1,False,국제학부 일어일문학전공,5,0,56,52,70,34,37,14,,,,
59,,,조예은,24,여,True,23,06,22,07,False,4,6,4,4,0,True,컴퓨터공학과,2,1,13,50,100,78,19,15,,,,
60,,,김민준,20,남,False,03,06,,,True,3,3,1,6,1,True,창의소프트학부 디자인이노베이션전공,7,0,47,80,63,84,87,53,,,,
61,,,최채원,28,여,True,23,10,01,07,False,5,5,5,2,1,True,글로벌인재학부 한국언어문화전공,7,1,65,64,64,84,1,97,,,,
62,,,최예은,24,여,False,01,11,02,11,False,1,2,3,6,0,True,양자원자력공학과,2,0,99,9,4,0,8,51,,,,
63,,,홍도윤,23,남,True,23,08,,,True,2,3,3,6,1,True,인공지능데이터사이언스학과,1,0,60,87,31,52,88,53,,,,
64,,,송은우,23,남,False,22,10,03,11,False,0,3,2,6,0,True,패션디자인학과,5,1,84,19,5,59,76,70,,,,
65,,,허하윤,21,여,False,03,10,,,True,1,1,5,6,0,True,정보보호학과,1,1,6,76,85,52,33,67,,,,
66,,,박승민,28,남,False,00,06,,,True,3,4,1,2,1,True,패션디자인학과,7,0,89,25,29,19,55,57,,,,
67,,,류도윤,23,남,True,03,08,02,09,False,2,1,2,7,0,True,창의소프트학부 디자인이노베이션전공,2,0,1,45,38,66,84,71,,,,
68,,,박서윤,21,여,False,22,07,02,06,False,5,3,2,7,1,True,수학통계학과,6,0,63,58,76,52,46,53,,,,
69,,,김승민,27,남,False,03,06,22,11,False,3,1,4,2,1,True,호텔관광외식경영학부 외식경영학전공,5,0,34,44,82,79,9,9,,,,
70,,,이서연,23,여,False,00,07,23,09,False,7,2,4,2,1,False,물리천문학과,4,1,98,46,20,88,68,80,,,,
71,,,김서윤,28,여,False,03,06,03,06,False,5,6,3,1,1,False,건설환경공학과,5,0,60,95,32,69,95,86,,,,
72,,,유하준,25,남,False,22,10,23,07,False,3,7,1,7,0,False,법학과,4,1,18,84,74,94,1,9,,,,
73,,,김예린,22,여,True,00,06,02,07,False,6,7,3,1,1,False,반도체시스템공학과,4,1,54,59,42,27,29,38,,,,
74,,,김수아,20,여,False,01,08,22,08,False,4,3,2,2,1,False,정보보호학과,4,1,61,31,68,5,55,25,,,,
75,,,강다은,20,여,False,02,06,,,True,2,5,4,7,1,False,인공지능데이터사이언스학과,1,0,75,91,57,5,62,39,,,,
76,,,서나연,21,여,False,03,06,03,08,False,7,7,5,5,1,False,지능정보융합학과,6,0,37,95,31,96,46,53,,,,
