student_id,name,age,gender,is_smoker,weekday_sleep_time,weekday_wake_time,weekend_sleep_time,weekend_wake_time,goes_home_on_weekend,late_night_return_frequency,drinking_frequency,noise_sensitivity,call_frequency,snores,prefers_same_major,major_name,cleaning_frequency,personality_extroversion,weight_lifestyle_rhythm,weight_noise,weight_major,weight_cleaning,weight_age,weight_personality,is_matched,matched_room_id,created_at,updated_at
20000001,김예준,28,male,False,22,11,,,True,6,5,4,2,1,False,국제학부 영어데이터융합전공,4,0,92,28,91,5,74,97,False,,,
25000001,안건우,23,male,False,00,09,00,07,False,4,7,2,4,1,False,국제학부 일어일문학전공,5,1,39,96,29,34,100,12,False,,,
22000001,장민서,22,female,False,02,07,03,11,False,7,0,1,6,1,False,국제학부 일어일문학전공,7,1,64,10,77,24,27,56,False,,,
23000001,김하준,22,male,True,23,11,23,11,False,6,6,5,3,0,False,자유전공학부,5,1,88,90,84,59,40,46,False,,,
21000001,이채원,20,female,True,02,09,,,True,3,7,3,6,0,True,국제학부 일어일문학전공,2,1,71,100,23,30,62,83,False,,,
21000002,윤지후,26,male,True,23,09,00,09,False,2,3,1,1,1,False,국제학부 영어데이터융합전공,5,0,35,56,81,35,56,28,False,,,
19000001,박도윤,26,male,False,00,10,23,07,False,3,5,5,1,0,False,국제학부 일어일문학전공,6,1,3,0,51,23,50,73,False,,,
19000002,이은우,20,male,False,23,09,23,07,False,5,6,3,4,0,False,국제학부 영어데이터융합전공,6,0,84,24,78,57,9,24,False,,,
25000002,이서윤,22,female,False,02,11,00,10,False,4,4,3,5,0,True,자유전공학부,5,1,30,19,20,96,67,95,False,,,
20000002,이승현,28,male,False,03,06,,,True,6,2,3,2,0,True,교육학과,1,0,89,61,57,73,13,53,False,,,
18000001,이유나,20,female,False,23,11,02,08,False,4,3,3,2,0,True,국제학부 일어일문학전공,3,0,28,95,20,37,32,83,False,,,
20000003,김서윤,25,female,False,00,06,00,11,False,6,0,4,5,1,False,교육학과,6,1,18,65,88,97,19,10,False,,,
18000002,김재윤,26,male,False,00,07,00,08,False,6,5,5,3,1,True,자유전공학부,3,1,33,13,21,51,23,79,False,,,
24000001,강민서,21,female,False,01,06,03,09,False,2,7,4,7,0,True,국제학부 영어데이터융합전공,7,0,37,39,90,97,53,65,False,,,
18000003,박지우,28,female,False,00,11,,,True,1,0,2,7,1,False,교육학과,4,0,98,61,16,20,37,45,False,,,
18000004,이시우,20,male,False,22,08,02,10,False,1,1,5,4,1,True,국어국문학과,5,0,31,17,70,19,23,67,False,,,
20000004,김민준,22,male,True,01,08,22,07,False,0,7,3,2,0,True,자유전공학부,6,1,21,39,90,13,21,93,False,,,
21000003,김하윤,23,female,False,23,09,,,True,5,4,2,3,1,True,역사학과,7,0,95,100,8,34,80,14,False,,,
19000003,엄서연,26,female,False,22,07,03,06,False,2,2,3,1,1,True,국어국문학과,3,0,37,42,40,82,7,88,False,,,
24000002,김지민,24,female,False,01,06,,,True,6,2,3,1,1,True,국제학부 영어데이터융합전공,6,0,24,33,3,93,15,91,False,,,
24000003,박유준,20,male,False,23,10,,,True,7,7,4,5,1,True,국제학부 중국통상학전공,2,1,82,60,66,82,71,21,False,,,
18000005,김윤서,20,female,False,01,08,,,True,7,7,4,5,1,True,국제학부 영어데이터융합전공,5,1,47,2,27,61,74,69,False,,,
22000002,심은우,28,male,True,03,11,23,10,False,2,0,4,1,1,True,역사학과,6,1,82,74,19,5,36,65,False,,,
18000006,권민준,24,male,True,02,11,,,True,6,7,2,2,1,False,국어국문학과,5,1,68,52,90,24,63,85,False,,,
25000003,김하준,21,male,True,01,09,01,10,False,1,3,5,3,0,False,역사학과,5,0,49,97,6,84,80,3,False,,,
25000004,차현우,23,male,False,22,11,,,True,2,6,4,2,1,True,교육학과,2,0,21,100,8,16,21,31,False,,,
25000005,김지후,24,male,False,02,11,00,08,False,5,2,4,1,0,True,국제학부 중국통상학전공,6,1,41,50,25,9,12,67,False,,,
22000003,백시우,22,male,False,23,09,22,11,False,5,5,3,4,0,True,국제학부 중국통상학전공,7,0,89,95,44,38,40,59,False,,,
